action_debug,action_duty_ref,action_v_ref,dt,g,i,p,t,t_mod,v
"{'algo': 'pso', 'phase': 1, 'iter': 1, 'idx': 2, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 66.80265220347042, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.703999999999994,0.001,650.0,3.79474279728871,66.80265220347042,0.059000000000000045,25.0,17.603999999999992
"{'algo': 'pso', 'phase': 1, 'iter': 1, 'idx': 3, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 67.18201333368745, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.603999999999992,0.001,650.0,3.7947364061052573,67.18201333368745,0.060000000000000046,25.0,17.703999999999994
"{'algo': 'pso', 'phase': 1, 'iter': 1, 'idx': 4, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 66.80265220347042, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.703999999999994,0.001,650.0,3.79474279728871,66.80265220347042,0.06100000000000005,25.0,17.603999999999992
"{'algo': 'pso', 'phase': 1, 'iter': 1, 'idx': 5, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 67.18201333368745, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.603999999999992,0.001,650.0,3.7947364061052573,67.18201333368745,0.06200000000000005,25.0,17.703999999999994
"{'algo': 'pso', 'phase': 1, 'iter': 2, 'idx': 0, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 66.80265220347042, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.50399999999999,0.001,650.0,3.79474279728871,66.80265220347042,0.06300000000000004,25.0,17.603999999999992
"{'algo': 'pso', 'phase': 1, 'iter': 2, 'idx': 1, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 66.42328903317208, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.40399999999999,0.001,650.0,3.794749144948133,66.42328903317208,0.06400000000000004,25.0,17.50399999999999
"{'algo': 'pso', 'phase': 1, 'iter': 2, 'idx': 2, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 66.04392369165694, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.50399999999999,0.001,650.0,3.7947554407984936,66.04392369165694,0.06500000000000004,25.0,17.40399999999999
"{'algo': 'pso', 'phase': 1, 'iter': 2, 'idx': 3, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 66.42328903317208, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.40399999999999,0.001,650.0,3.794749144948133,66.42328903317208,0.06600000000000004,25.0,17.50399999999999
"{'algo': 'pso', 'phase': 1, 'iter': 2, 'idx': 4, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 66.04392369165694, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.303999999999988,0.001,650.0,3.7947554407984936,66.04392369165694,0.06700000000000005,25.0,17.40399999999999
"{'algo': 'pso', 'phase': 1, 'iter': 2, 'idx': 5, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 65.66455637415083, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.203999999999986,0.001,650.0,3.7947616952236984,65.66455637415083,0.06800000000000005,25.0,17.303999999999988
"{'algo': 'pso', 'phase': 1, 'iter': 3, 'idx': 0, 'gbest_v': 16.24232764833162, 'gbest_p': 67.9407289845544, 'p': 65.28518698095327, 'center': 18.003999999999998, 'span': 10.0, 'state': 'GLOBAL_SEARCH'}",,17.103999999999985,0.001,650.0,3.7947679017061917,65.28518698095327,0.06900000000000005,25.0,17.203999999999986
